eventid,occurrenceid,measurementtype,measurementvalue,measurementunit
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366580:occurrence-detections,transmitter sensor value,50,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366579:occurrence-detections,transmitter sensor value,53,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366578:occurrence-detections,transmitter sensor value,51,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366577:occurrence-detections,transmitter sensor value,45,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366576:occurrence-detections,transmitter sensor value,40,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366575:occurrence-detections,transmitter sensor value,38,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366574:occurrence-detections,transmitter sensor value,28,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366573:occurrence-detections,transmitter sensor value,33,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366572:occurrence-detections,transmitter sensor value,43,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366571:occurrence-detections,transmitter sensor value,46,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366570:occurrence-detections,transmitter sensor value,49,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366569:occurrence-detections,transmitter sensor value,42,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366568:occurrence-detections,transmitter sensor value,33,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366567:occurrence-detections,transmitter sensor value,22,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366566:occurrence-detections,transmitter sensor value,15,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366565:occurrence-detections,transmitter sensor value,24,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366564:occurrence-detections,transmitter sensor value,29,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366563:occurrence-detections,transmitter sensor value,34,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366562:occurrence-detections,transmitter sensor value,36,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366561:occurrence-detections,transmitter sensor value,45,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366560:occurrence-detections,transmitter sensor value,37,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366559:occurrence-detections,transmitter sensor value,43,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366558:occurrence-detections,transmitter sensor value,45,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366557:occurrence-detections,transmitter sensor value,44,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366556:occurrence-detections,transmitter sensor value,44,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366555:occurrence-detections,transmitter sensor value,42,ADC
